name,lat,lng
Ayuntamiento de Malabo,3.750110,8.780590
Mercado Central Malabo,3.748920,8.781340
Hospital Regional Malabo,3.752400,8.782100
Aeropuerto Internacional Malabo,3.754800,8.708100
Puerto de Malabo,3.757300,8.784600
Estadio La Paz,3.745600,8.776200
Universidad Nacional,3.741200,8.779800
Hotel Sofitel Sipopo,3.761500,8.760200
Barrio Ela Nguema,3.736800,8.773400
Barrio Campo Yaounde,3.755200,8.789100
Punta Europa (SONAGAS),3.789400,8.741200
Luba (Terminal),3.453200,8.551100
Riaba (Terminal),3.700100,8.930100
Moka (Terminal),3.378500,8.653800
Ureka (Terminal),3.234000,8.663200
Sampaka,3.763100,8.774200
Barrio Los Angeles,3.742000,8.770100
Barrio Ministeres,3.758700,8.783900
Barrio Ela Nguema Mercado,3.737500,8.774200
Basilica de la Inmaculada Concepcion,3.748100,8.780600
